Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Taj Bradley","TBR",242.2,92.40018038331453,277.08,92.00395036194416,91.83377314814815,,99.30974828918397,,,,108.37107478493478,93.10213174843695,101.69016371636953,"Taj Bradley",22543,671737
"Michel Otañez","OAK",34,65.7336032388664,92.86953271028041,,,87.72704453441298,,,,,124.46376039933445,79.75550748752079,101.65088186356073,"Michel Otanez",22533,671305
"Reid Detmers","LAA",236,99.59464362850973,,,,93.37179190751444,106.12112021857924,104.83757575757576,,,102.99033331059394,99.44708719542277,101.62611011412451,"Reid Detmers",27468,672282
"Derek Law","- - -",145,104.28021798365121,104.83568,100.48437788018434,,112.78231922765875,100.08616956178442,101.16758620689656,,,96.46112251968334,104.80668425845427,101.59822346897987,"Derek Law",13133,571882
"José Berríos","TOR",382,103.95038869257951,103.50793501048217,113.4730693069307,,,106.52916216640436,109.99468253968256,,,94.34156215285196,105.70897895818815,101.56950536382827,"Jose Berrios",14168,621244
"Bryan King","HOU",26.1,104.9884403669725,86.14260869565217,,,90.63454545454543,101.01548387096776,,,,100.81918072289149,98.49286746987954,101.56067469879521,"Bryan King",25890,687911
"Reynaldo López","- - -",201.2,102.96502061855671,,,,93.16021286793263,103.02823529411764,105.53575342465754,,,103.49001759251178,100.20070504104416,101.52900692766714,"Reynaldo Lopez",16400,625643
"Bowden Francis","TOR",140,107.86671614100186,99.7328888888889,,100.60034843205575,83.21658850354854,100.85030915436495,,,,100.9743294913913,102.50514066141731,101.49509297536487,"Bowden Francis",20548,670102
"Luis Severino","- - -",271.1,100.31733939738487,102.37829172141919,93.91987447698745,,93.30050156677159,,95.54206896551725,,,106.0646413530984,97.88222247353035,101.48302003917186,"Luis Severino",15890,622663
"Jameson Taillon","CHC",319.2,106.07315855181024,105.7067169811321,107.51050675675675,,106.15904271001789,109.34401903236306,107.0536956521739,,,96.07754291243269,106.78050765302171,101.47124454608327,"Jameson Taillon",11674,592791
"Michael Kelly","- - -",48,93.09867924528301,101.10583333333334,,,99.25011756359582,,,,,108.66330795240131,97.55040010603044,101.46109247574687,"Michael Kelly",12791,547184
"Burch Smith","- - -",56.1,92.69125000000001,-111.74000000000001,103.29531249999998,,108.65408336046893,93.9209756097561,134.7857142857143,,,104.2581250392919,96.93312854814586,101.43491703661927,"Burch Smith",12784,572143
"Trevor Richards","- - -",138,95.27358523725837,,,,,,100.32804005722461,,,104.48079357170374,98.07770157390816,101.38959804533081,"Trevor Richards",19309,670950
"Nick Mears","- - -",77,98.02327751196171,,,,93.2208108108108,89.79062499999999,,,,104.60553746211198,95.46880861380033,101.32282215696544,"Nick Mears",25376,683232
"Connor Brogdon","- - -",32,93.43086757990868,,79.7769934640523,,,,107.42721189591077,,,106.16228147690217,96.00909754294092,101.29995430136856,"Connor Brogdon",21205,641401
"Troy Taylor","SEA",19.1,100.69829787234043,,,,99.94725925925927,,85.252,,,108.69365853658535,100.15371951219508,101.23878048780487,"Troy Taylor",31883,700187
"Will Smith","- - -",98.2,104.16979284369118,,,,105.86112536019648,102.52141036864118,91.67934959349594,,,99.33861202911761,103.73313738339469,101.19210875526556,"Will Smith",8048,519293
"Austin Pruitt","- - -",52.2,101.21680365296805,109.78991596638657,,,101.04159143842686,112.19246153846152,111.16980519480519,,,91.61047807023813,105.5923884291811,101.17128585239337,"Austin Pruitt",15290,643493
"Andre Pallante","STL",189.1,100.07389811104751,83.9254773869347,,,105.20022828784118,108.45307189542486,,111.03409836065573,,98.77534812938434,100.08868424776124,101.13540886469234,"Andre Pallante",26108,669467
"Mike Mayers","KCR",26.1,99.13574468085106,113.74038461538461,136.15285714285716,,116.40269905145158,102.17866379310347,109.04530612244899,,,89.27054137699034,110.6162677730433,101.12547342453466,"Mike Mayers",15451,594577
"Bailey Horn","BOS",18,95.4663888888889,,80.07866666666665,,101.02099447513812,91.42526315789473,,,,105.69463576158941,97.01264900662251,101.11986754966888,"Bailey Horn",27753,690544
"Frankie Montas","- - -",152,101.10184931506849,103.11629629629627,91.40963855421687,97.6837881873727,95.76832740213523,,,,,102.41350943401464,98.4644668747469,101.03942260767788,"Frankie Montas",14309,593423
"Robert Gasser","MIL",28,94.9493670886076,96.77061224489796,106.61297297297297,,100.37625,,99.02070175438597,,,105.37814070351757,98.22703517587941,101.01050251256281,"Robert Gasser",29812,688107
"Braxton Garrett","MIA",196.2,103.09917910447761,100.91040733197555,104.95983805668014,,97.35125628140705,103.83760101116492,85.21102739726028,,,101.22163744619364,99.55494905694559,101.00356527362575,"Braxton Garrett",21844,666129
"Jacob Barnes","- - -",79.2,102.93670886075951,,98.0028086419753,,105.84333333333333,,-53.13000000000001,,,99.98550113036917,100.1380256217031,100.98123587038431,"Jacob Barnes",12323,606930
"Cole Sands","MIN",93,107.06099792099793,106.88534090909093,101.98198924731182,110.33198653198653,,98.06298755186722,,,,97.02805280016852,105.05019219211782,100.91361490944917,"Cole Sands",21461,663485
"Sean Reynolds","SDP",11,96.22309090909091,,,,85.16271844660194,,122.115,,,107.76053333333334,92.5408,100.91271111111114,"Sean Reynolds",22253,669308
"Adbert Alzolay","CHC",81.1,96.91231343283582,87.19460076045627,87.69900826446283,,100.34874444475062,,87.57142857142857,,,104.69670064608165,95.71628945227073,100.87188477078777,"Adbert Alzolay",17859,640470
"Ryan Yarbrough","- - -",188.1,105.00390563564876,95.52584615384615,99.09494023904384,,,104.92972388209435,101.654008097166,,,107.93987521209434,100.09519708471609,100.86637294026218,"Ryan Yarbrough",16502,642232
"Victor Vodnik","COL",82.1,98.83510791366909,,,,102.86650374407826,,102.37697211155378,,,98.88653887483575,100.17501489303298,100.8569466635292,"Victor Vodnik",24614,680767
"Adam Kloffenstein","STL",1,,99.76,14.540000000000006,,,29.519999999999996,,,,116.27333333333334,75.348,100.84266666666666,"Adam Kloffenstein",24493,680572
"Eli Morgan","CLE",109.1,104.14431848852902,,,,100.48558652916533,84.86666666666666,107.46516981132075,,,99.81335562914705,103.77543930158053,100.82387472146449,"Eli Morgan",20203,669212
"Guillo Zuñiga","- - -",19.2,117.4557142857143,82.56914893617021,,,85.22631578947369,,69.16687499999999,,,104.60082802547772,94.22369426751592,100.81738853503184,"Guillo Zuniga",19588,670871
"Jake Diekman","- - -",88.2,93.04107995846313,80.67068965517241,51.785,,86.42171125439091,,78.56541062801932,,,116.5988177049157,87.02185289951429,100.78361141084135,"Jake Diekman",5003,518617
"Anthony Bass","TOR",20,65.24923076923076,86.44568421052632,,114.01090909090908,109.00519337016576,,,,,102.83581538461536,99.20621538461539,100.7393230769231,"Anthony Bass",7982,542914
"Jackson Wolf","SDP",5,114.94,,,,109.36,,92.28,,,89.68986666666666,108.24586666666667,100.68133333333334,"Jackson Wolf",29832,680232
"Angel Perdomo","PIT",29,102.48732673267331,,,,96.58065789473683,,69.56117647058824,,,100.60612836438926,98.20157349896483,100.66074534161488,"Angel Perdomo",17759,622780
